OriginPage	LinkToPage	LinkToPageStatus	LinkToPageTitle	OriginPageDate	OriginPageTitle
http://todomvc.com/	https://github.com/arthurvr	ok	<img src="https://avatars1.githubusercontent.com/u/6025224?v=3&s=80" width="40" height="40" alt="Arthur Verschaeve">Arthur	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://avatars1.githubusercontent.com/u/6025224?v=3&s=80	ok	Arthur Verschaeve	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/samccone	ok	<img src="https://avatars0.githubusercontent.com/u/883126?v=3&s=80" width="40" height="40" alt="Sam Saccone">Sam	02.09.2018  10:14:05	TodoMVC
http://github.com/samccone	https://github.com/samccone	ok	<img src="https://avatars0.githubusercontent.com/u/883126?v=3&s=80" width="40" height="40" alt="Sam Saccone">Sam		Sam Saccone
http://todomvc.com/	https://avatars0.githubusercontent.com/u/883126?v=3&s=80	ok	Sam Saccone	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/site-assets/main.min.js	ok		02.09.2018  10:14:05	TodoMVC
http://coding.smashingmagazine.com/2012/07/27/journey-through-the-javascript-mvc-jungle/	https://coding.smashingmagazine.com/2012/07/journey-through-the-javascript-mvc-jungle	ok	redir		selecting
http://todomvc.com/site-assets/main.min.css	http://todomvc.com/fonts/glyphicons-halflings-regular.eot	not found		02.09.2018  10:14:05	
http://todomvc.com/site-assets/main.min.css	http://todomvc.com/fonts/glyphicons-halflings-regular.eot?	not found		02.09.2018  10:14:05	
http://todomvc.com/site-assets/main.min.css	http://todomvc.com/fonts/glyphicons-halflings-regular.woff	not found		02.09.2018  10:14:05	
http://todomvc.com/site-assets/main.min.css	http://todomvc.com/fonts/glyphicons-halflings-regular.ttf	not found		02.09.2018  10:14:05	
http://todomvc.com/site-assets/main.min.css	http://todomvc.com/fonts/glyphicons-halflings-regular.svg	not found		02.09.2018  10:14:05	
https://github.com/tastejs/todomvc/archive/master.zip	https://codeload.github.com/tastejs/todomvc/zip/master	ok	redir		Download
http://todomvc.com/examples/backbone	http://todomvc.com/examples/backbone/	ok	Backbone.js • TodoMVC		Backbone.js
http://todomvc.com/examples/angularjs	http://todomvc.com/examples/angularjs/	ok	AngularJS • TodoMVC		AngularJS
https://twitter.com/share	https://twitter.com/intent/tweet?url=&original_referer=	ok	redir	13.11.2018  21:21:18	
http://todomvc.com/examples/emberjs	http://todomvc.com/examples/emberjs/	ok	Ember TodoMVC		Ember.js
http://todomvc.com/examples/knockoutjs	http://todomvc.com/examples/knockoutjs/	ok	Knockout.js • TodoMVC		KnockoutJS
http://todomvc.com/examples/dojo	http://todomvc.com/examples/dojo/	ok	Dojo • TodoMVC		Dojo
http://todomvc.com/examples/knockback	http://todomvc.com/examples/knockback/	ok	Knockback.js • TodoMVC		Knockback.js
http://todomvc.com/examples/canjs	http://todomvc.com/examples/canjs/	ok	CanJS • TodoMVC		CanJS
http://todomvc.com/examples/polymer/index.html	http://todomvc.com/examples/polymer/bower_components/todomvc-common/base.css	ok		02.09.2018  10:14:05	Polymer • TodoMVC
http://todomvc.com/examples/polymer/index.html	http://todomvc.com/examples/polymer/bower_components/todomvc-app-css/index.css	ok		02.09.2018  10:14:05	Polymer • TodoMVC
http://todomvc.com/examples/polymer/index.html	http://todomvc.com/examples/polymer/elements/elements.build.html	ok		02.09.2018  10:14:05	Polymer • TodoMVC
http://todomvc.com/examples/polymer/index.html	https://www.polymer-project.org/1.0/	ok	The Polymer Authors	02.09.2018  10:14:05	Polymer • TodoMVC
http://todomvc.com/examples/polymer/index.html	http://todomvc.com/examples/polymer/bower_components/todomvc-common/base.js	ok		02.09.2018  10:14:05	Polymer • TodoMVC
http://todomvc.com/examples/react	http://todomvc.com/examples/react/	ok	React • TodoMVC		React
http://todomvc.com/examples/mithril	http://todomvc.com/examples/mithril/	ok	Mithril • TodoMVC		Mithril
http://todomvc.com/examples/vue	http://todomvc.com/examples/vue/	ok	Vue.js • TodoMVC		Vue.js
http://todomvc.com/examples/backbone_marionette	http://todomvc.com/examples/backbone_marionette/	ok	Marionette • TodoMVC		Marionette.js
http://todomvc.com/examples/kotlin-react	http://todomvc.com/examples/kotlin-react/	ok	React Kotlin TodoMVC		Kotlin + React
http://todomvc.com/examples/react-backbone	http://todomvc.com/examples/react-backbone/	ok	React + Backbone • TodoMVC		React + <br>Backbone.js
http://todomvc.com/examples/gwt	http://todomvc.com/examples/gwt/	ok	Google Web Toolkit • TodoMVC		GWT
http://todomvc.com/examples/vanillajs	http://todomvc.com/examples/vanillajs/	ok	VanillaJS • TodoMVC		Vanilla JS
http://todomvc.com/examples/firebase-angular	http://todomvc.com/examples/firebase-angular/	ok	Firebase &amp; AngularJS • TodoMVC		Firebase + AngularJS
http://todomvc.com/examples/kendo	http://todomvc.com/examples/kendo/	ok	Kendo UI • TodoMVC		Kendo UI
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/todomvc-app-css/index.css	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/todomvc-common/base.css	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/css/app.css	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://github.com/jsoverson	ok	Jarrod Overson	02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://github.com/derickbailey	ok	Derick Bailey	02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://marionettejs.com/	ok	Backbone.Marionette	02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/todomvc-common/base.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/jquery/dist/jquery.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/underscore/underscore.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/backbone/backbone.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/backbone.localstorage/backbone.localStorage.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/backbone.radio/build/backbone.radio.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/node_modules/backbone.marionette/lib/backbone.marionette.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/js/TodoMVC.Application.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/js/TodoMVC.Todos.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/js/TodoMVC.Layout.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/js/TodoMVC.TodoList.Views.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/js/TodoMVC.Router.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/js/TodoMVC.FilterState.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/backbone_marionette/	http://todomvc.com/examples/backbone_marionette/js/TodoMVC.js	ok		02.09.2018  10:14:05	Marionette • TodoMVC
http://todomvc.com/examples/js_of_ocaml	http://todomvc.com/examples/js_of_ocaml/	ok	Js_of_ocaml • TodoMVC		js_of_ocaml
http://todomvc.com/examples/sapui5	http://todomvc.com/examples/sapui5/	ok	SAPUI5 • TodoMVC		SAPUI5
http://todomvc.com/examples/knockoutjs/	http://todomvc.com/examples/knockoutjs/node_modules/todomvc-common/base.css	ok		02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs/	http://todomvc.com/examples/knockoutjs/node_modules/todomvc-app-css/index.css	ok		02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs/	https://github.com/ashish01/knockoutjs-todos	ok	Ashish Sharma	02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs_require/	https://github.com/ashish01/knockoutjs-todos	ok	Ashish Sharma	02.09.2018  10:14:05	Knockout.js • TodoMVC
